45_68_44_ 45_73_44
8_74_44_ 8_105_44
33_41_73_12_44_ 33_41_95_12_44
35_74_35_ 52_105_61
18_70_ 18_74
13_19_58_78_56_27_ 13_19_58_117_56_27
6_40_62_42_ 6_40_62_42
74_ 105
37_42_9_72_25_49_30_ 37_42_9_76_25_49_30
29_71_1_ 29_75_19
73_ 95
72_ 76
4_74_26_ 4_105_26
0_29_52_65_16_21_ 50_29_52_65_16_47
67_45_29_ 107_45_29
66_49_6_13_23_ 70_49_6_13_23
44_71_ 44_75
27_18_79_28_ 27_18_118_28
71_51_49_38_60_3_31_34_20_ 75_25_49_12_60_3_31_34_20
28_ 28_70
48_44_40_71_8_34_ 48_44_40_75_8_34
43_80_ 43_134
19_54_ 19_54
7_73_ 7_95
37_25_42_19_63_8_22_41_47_ 37_25_42_19_70_8_22_41_47
13_ 12_105
51_7_64_34_39_ 51_7_64_34_39
63_24_ 63_24
38_2_50_9_78_26_ 38_2_0_9_117_26
3_20_64_10_62_40_61_ 3_46_59_10_62_40_61
48_80_1_32_30_11_ 48_134_1_32_30_11
10_ 10
79_60_71_3_61_23_15_ 47_60_75_3_61_23_15
70_ 74
62_ 62
28_31_68_11_30_17_ 54_31_73_11_30_17
4_43_32_76_60_1_ 4_43_32_111_60_1
22_12_71_47_19_ 22_12_75_47_19
57_ 31
49_37_65_5_7_ 49_51_65_5_7
73_38_45_11_ 95_38_45_11
74_ 105
9_22_15_ 9_22_15
59_ 64
33_78_ 59_117
11_72_ 11_76
56_50_77_58_46_37_25_23_8_ 56_24_70_58_20_37_25_23_8
60_77_73_16_ 60_24_95_16
63_22_19_ 63_22_19
16_73_ 16_95
51_53_23_47_76_20_ 51_53_23_47_111_20
32_57_73_34_ 32_57_95_34
73_ 95
69_34_58_57_ 73_34_58_57
72_12_41_ 76_38_41
32_52_69_20_ 58_52_73_20
15_34_61_10_65_50_ 15_34_61_26_65_24
26_65_50_57_42_18_23_8_3_ 26_65_0_31_42_18_23_8_3
10_25_11_62_16_42_ 10_25_11_62_16_42
72_13_ 76_13
57_67_46_ 57_107_20
40_63_ 40_63
60_80_9_32_ 60_134_9_32
17_20_6_19_66_57_50_48_ 17_46_11_19_70_57_24_48
58_27_69_60_14_39_47_43_ 58_27_73_60_14_39_47_43
22_52_28_72_27_ 22_52_28_76_27
45_46_79_58_ 45_46_118_58
14_50_11_77_45_46_76_26_ 14_0_11_24_45_46_111_26
64_5_30_56_7_44_11_ 64_5_30_56_7_44_11
63_9_ 63_9
41_10_79_18_ 41_10_118_18
35_28_60_73_19_10_ 35_28_60_95_19_10
28_1_0_ 28_70_0
10_51_74_12_50_ 10_51_105_12_24
26_31_68_29_ 26_31_73_29
47_ 63
60_15_57_ 60_15_57
27_9_13_30_79_32_25_ 27_9_13_30_118_32_51
3_48_39_52_34_76_41_ 3_48_39_52_34_111_41
53_12_66_20_17_ 53_38_70_46_17
60_8_64_77_39_ 60_8_64_13_39
2_62_ 2_62
28_18_6_29_70_1_50_56_53_ 54_18_6_29_74_45_50_56_53
24_80_11_ 50_134_11
1_34_10_19_38_54_ 107_34_10_19_38_54
69_ 73
22_50_74_27_ 22_0_105_27
11_52_29_62_60_51_ 11_52_29_62_60_51
6_22_43_72_1_2_ 6_22_43_76_44_2
74_ 105
42_72_ 42_76
72_ 76
2_9_25_62_56_55_ 2_26_25_62_56_55
71_41_10_49_46_43_ 75_41_10_49_20_43
17_21_20_70_1_5_9_ 17_47_20_74_21_5_9
73_39_42_ 95_39_42
20_73_ 20_95
58_38_21_65_51_30_ 58_38_47_65_51_56
19_14_50_74_57_27_52_ 19_14_50_105_57_27_52
56_64_46_37_9_7_ 56_64_46_37_9_7
30_76_ 56_111
73_ 95
13_53_77_45_28_71_22_11_ 13_53_0_45_28_75_22_11
36_8_13_59_25_ 36_8_111_13_59_51
53_42_30_72_6_3_ 53_42_30_76_6_3
54_75_4_40_23_74_19_ 54_107_4_40_23_1_19
8_43_63_16_38_ 8_43_63_16_38
24_ 24
62_ 62
36_79_ 36_118
28_50_78_53_2_ 54_50_117_53_2
71_ 75
37_39_62_8_35_ 37_39_62_8_61
72_ 76
22_31_79_5_ 22_57_118_5
74_50_2_60_58_55_65_36_ 21_0_2_60_58_55_65_36
37_1_ 37_70
55_65_53_ 55_65_53
53_6_57_4_ 53_6_57_4
75_ 107
59_ 64
61_70_ 35_74
7_36_79_33_25_39_ 7_36_118_59_25_39
64_25_ 64_25
12_32_19_58_63_21_25_43_2_ 12_32_19_58_63_1_25_43_35
65_ 65
54_75_26_ 54_107_26
62_ 62
28_8_62_0_ 54_8_62_24
21_60_ 73_60
71_36_75_ 75_36_45
40_2_63_6_3_ 40_2_63_6_3
10_54_75_14_24_ 10_54_107_14_0
34_11_76_9_ 34_17_111_9
52_53_ 52_53
3_53_75_36_52_51_47_ 3_53_107_36_52_51_47
59_65_81_ 59_65
4_64_40_58_ 4_64_40_58
24_16_ 24_70_16
44_56_78_9_ 44_56_117_9
76_24_38_9_60_23_ 111_50_38_9_60_23
74_ 105
18_22_75_60_23_ 18_22_107_60_23
30_34_20_35_53_43_69_55_28_ 30_34_20_35_53_43_73_55_28
9_2_6_74_13_37_39_ 9_2_6_105_13_37_39
35_28_32_80_40_36_7_ 35_28_32_134_40_36_7
47_20_78_32_21_ 47_20_117_32_1
14_52_78_77_29_16_ 14_52_117_29_16
24_17_72_43_38_ 0_17_76_43_12
31_19_3_74_25_53_ 57_19_3_105_25_53
62_ 62
17_62_10_ 17_62_10
5_71_25_ 5_75_51
50_60_70_12_6_45_29_58_ 0_60_74_38_6_45_29_58
32_76_ 32_111
1_72_66_6_ 1_76_6
7_11_64_47_2_37_ 107_11_33_47_2_37
12_68_ 12_73
13_62_ 13_62
17_62_ 17_62
57_73_12_ 57_95_38
12_73_54_ 12_95_54
20_58_71_41_ 46_58_75_41
36_29_11_51_43_75_10_ 36_29_11_51_43_107_10
4_40_80_58_ 4_40_134_58
33_19_24_70_53_ 59_19_24_74_53
2_64_4_10_9_64_41_ 35_59_4_10_26_64_41
52_5_41_40_4_62_33_57_12_34_ 52_5_41_40_4_62_33_57_12_34
17_10_39_73_35_50_ 17_10_39_95_35_0
75_ 107
40_17_63_39_ 40_17_63_39
4_70_ 4_74
18_65_52_ 18_65_52
31_79_ 57_118
0_10_8_72_45_13_ 0_10_8_76_45_13
40_50_17_69_26_77_6_ 40_50_17_73_26_24_6
36_73_32_2_8_7_ 36_95_32_2_8_7
7_37_65_11_18_ 7_37_65_11_18
36_8_78_66_13_59_51_ 36_8_117_13_59_51
10_78_59_ 10_117_59
55_45_ 55_70_45
62_ 62
58_59_76_40_23_ 32_33_111_40_23
21_7_44_34_31_8_42_19_ 21_107_44_34_31_8_42_19
53_12_29_11_64_40_54_ 53_12_29_11_64_40_28
54_8_76_57_58_2_30_26_ 54_8_111_57_31_35_30_9
18_71_ 18_75
15_19_42_28_62_58_ 15_19_42_28_62_58
21_34_73_31_55_ 21_34_95_31_55
44_53_62_14_ 44_53_62_14
39_57_34_76_51_18_24_ 39_57_34_111_51_18_0
30_51_5_80_1_31_ 30_25_5_134_21_57
77_78_22_31_60_ 24_117_22_31_60
1_57_72_10_47_ 54_57_76_10_47
28_30_79_39_ 54_30_118_39
27_55_56_75_11_2_23_ 27_55_56_107_11_61_23
45_73_ 45_95
33_52_13_ 64_52_13
2_58_72_33_20_ 35_58_76_59_20
19_76_63_ 19_111
59_72_7_8_ 33_70_7_8
59_22_75_41_ 59_22_107_41
27_20_18_78_60_45_48_ 27_20_18_117_60_45_48
49_13_8_12_74_42_4_3_ 49_13_8_12_105_42_4_3
26_18_70_8_ 26_18_74_8
31_ 70
53_1_79_ 53_118
65_ 65
34_80_27_ 34_134_27
73_ 95
29_38_ 29_105
33_73_58_75_ 33_95_32
57_4_20_64_23_56_ 57_4_46_64_17_56
74_ 105
47_69_ 47_73
61_57_4_50_9_ 35_57_4_111_0_9
74_3_ 105_3
70_ 74
80_52_ 134_52
1_80_ 134
6_0_64_8_ 6_24_64_8
20_62_ 46_62
23_15_6_70_39_ 23_15_6_74_39
57_46_76_18_64_24_ 57_46_111_18_59_50
67_22_2_30_27_ 107_22_2_30_27
22_50_67_45_ 22_50_107_45
35_53_75_3_19_ 35_53_107_3_19
33_62_ 33_62
32_23_76_58_ 32_23_111_58
52_72_ 52_76
62_52_20_ 62_52_20
1_33_63_45_58_30_ 1_33_63_45_21_58_30
61_12_ 61_73
8_27_66_29_15_ 8_27_70_29_15
27_9_70_51_ 27_9_74_51
1_46_62_ 46_62
34_1_ 34_105
12_44_63_20_18_ 12_44_70_46_18
60_23_44_77_17_32_ 60_23_44_70_17_32
39_72_ 39_76
70_4_53_18_49_45_39_29_51_31_ 74_4_53_18_49_45_39_29_51_57
75_ 107
19_41_68_45_7_ 19_41_73_45_7
11_43_9_64_19_32_47_64_44_80_ 11_43_9_59_19_58_47_64_44_21
39_76_42_ 39_111_42
46_65_ 46_65
18_75_25_42_ 18_107_25_42
64_45_ 64_45
45_60_75_39_0_0_ 45_60_107_39_24_50
73_27_19_42_5_ 95_27_19_42_5
44_11_51_65_46_53_59_ 44_11_51_65_46_53_33
6_32_70_3_ 6_58_74_3
23_25_17_44_73_64_ 23_25_17_44_95_33
22_64_31_ 22_64_31
4_79_52_ 4_118_52
1_63_ 1_63
1_61_55_65_77_8_29_ 1_61_55_65_24_8_29
31_33_60_65_20_18_ 56_33_60_65_20_18
69_ 73
5_65_ 5_65
28_32_50_70_30_55_6_ 28_32_50_74_30_55_11
30_73_22_ 30_95_22
80_53_59_25_8_27_64_11_23_2_ 134_53_59_25_8_60_33_11_23_2
0_47_5_14_50_53_70_1_30_33_ 0_47_5_14_50_53_74_21_30_33
12_ 73
33_70_ 33_74
72_ 76
31_33_ 31_64
72_ 76
29_64_11_12_26_44_30_ 29_64_11_38_26_44_30
23_70_38_3_ 23_74_12_3
7_25_75_45_52_ 7_25_107_45_52
2_23_1_79_41_2_ 35_23_1_118_41_2
51_75_37_ 51_107_37
2_ 2
44_20_34_62_13_30_ 44_20_34_62_13_30
10_36_68_7_26_57_66_45_ 10_36_38_7_26_57_70_45
56_72_19_ 56_76_19
23_2_76_74_27_ 23_2_111_21_27
30_20_47_73_28_9_53_ 30_20_47_95_28_9_53
78_ 117
20_13_64_3_ 46_13_64_3
18_45_64_77_19_58_51_ 18_45_64_0_19_58_51
47_ 63
19_35_64_13_ 19_35_64_13
65_ 65
48_62_ 48_62
39_32_71_20_ 39_32_75_46
12_74_0_ 38_105_24
42_72_58_47_61_51_36_2_ 42_76_58_47_61_25_36_2
12_ 105
3_43_72_27_12_ 3_43_76_27_38
7_53_62_35_16_37_39_ 7_53_62_61_16_37_39
39_14_73_43_ 39_14_95_43
34_74_14_ 34_105_14
25_31_39_30_ 51_31_39_30
75_ 107
1_0_6_58_ 105_38_6_32
71_58_2_35_ 75_58_2_35
5_68_79_61_ 5_47_118_61
47_ 47_111
24_10_8_1_45_13_ 0_10_8_105_45_13
28_75_ 54_107
8_1_ 8_111
20_22_66_8_ 46_22_70_8
45_58_74_14_77_59_ 45_32_105_14_0_59
41_68_ 41_73
20_18_53_72_60_31_ 46_18_53_76_60_31
22_28_40_54_72_45_ 22_28_40_54_76_45
38_10_74_30_ 38_10_105_30
65_ 65
45_31_75_22_ 45_31_107_22
76_ 111
4_63_ 4_63
21_44_34_31_70_8_42_19_ 21_44_34_31_74_8_42_19
16_79_17_ 16_118_17
71_ 75
52_1_79_16_38_ 52_1_118_16_12
24_74_30_21_25_ 24_105_30_21_25
17_80_6_51_43_ 17_134_6_51_43
62_77_53_10_ 62_0_53_10
80_15_23_18_55_58_44_ 134_15_27_18_55_58_44
62_26_77_41_60_56_2_1_8_ 62_26_50_41_60_56_2_1_8
44_6_70_40_ 44_6_74_40
2_68_10_ 2_73_10
12_63_6_47_23_ 38_63_6_47_23
60_73_ 60_95
58_49_ 58_49
19_47_77_78_35_ 19_47_117_35
25_51_66_42_39_ 25_51_70_42_39
80_64_8_ 134_33_8
14_ 14
34_63_ 34_63
5_0_69_2_58_ 5_24_73_2_58
49_79_0_ 49_118_50
23_59_72_17_49_ 23_59_76_17_49
49_59_ 49_64
33_76_63_56_ 59_111_56
72_ 76
30_55_69_59_31_ 30_55_73_33_31
51_50_55_72_9_26_ 25_50_55_76_9_26
63_64_26_43_ 70_33_26_43
74_ 105
20_45_ 70_20_45
16_63_23_ 16_70_17
9_39_30_78_64_8_ 26_39_30_117_59_8
62_ 62
22_72_ 22_76
21_51_78_0_58_ 21_51_117_0_58
70_7_74_52_80_49_12_ 74_7_38_52_1_49_12
16_53_1_77_25_ 16_53_107_24_51
16_36_20_72_2_12_32_28_48_33_ 16_36_20_76_2_12_32_28_48_33
4_65_7_ 4_65_7
70_ 74
21_48_80_10_ 48_134_10
13_ 13
4_79_39_ 4_118_39
12_31_80_40_14_ 12_57_134_40_14
9_25_23_ 9_25_23
74_56_63_52_ 20_56_70_52
9_22_70_52_ 9_22_74_52
41_25_60_15_3_74_55_13_ 41_25_60_15_3_105_55_43
66_39_60_ 70_39_60
55_71_ 55_75
24_74_47_ 16_105_47
33_75_ 59_107
45_15_75_7_33_25_56_ 45_15_107_7_33_25_56
35_65_48_ 35_65_48
80_27_19_ 134_27_19
70_3_19_30_56_33_ 74_3_19_30_56_33
6_3_58_25_80_45_52_77_23_5_ 6_3_58_25_134_45_52_24_23_5
39_ 39
16_10_1_35_3_70_8_39_41_ 16_10_1_35_3_74_8_39_41
6_79_ 6_118
42_80_38_60_20_58_ 42_70_12_60_46_58
29_41_63_4_35_ 29_41_63_4_61
22_77_24_28_39_14_70_30_33_ 22_50_24_54_39_14_74_56_33
29_54_73_61_27_ 29_28_95_35_27
33_33_13_ 64_33_13
51_63_0_ 51_63_50
59_ 59
79_6_ 118_6
20_28_73_31_6_ 20_28_95_31_6
73_ 95
28_78_3_31_ 28_117_3_31
80_ 134
17_7_62_11_35_46_1_22_ 17_7_29_11_35_46_1_22
5_ 70
22_42_36_69_13_39_ 22_42_36_73_13_39
78_13_ 117_13
29_17_8_76_0_ 29_17_8_111_24
23_13_20_29_72_40_45_ 23_13_46_29_76_40_45
17_40_30_70_41_38_ 17_40_56_74_41_38
51_78_ 25_117
26_74_57_54_51_ 26_105_57_54_51
35_54_76_38_ 2_54_111_38
5_6_22_ 5_117_48
18_3_55_57_16_71_29_9_ 18_3_55_57_16_75_29_9
59_76_ 59_70
21_67_30_23_30_14_75_45_ 21_107_56_23_30_14_7_45
37_ 37
40_13_59_65_12_ 40_13_59_65_12
0_73_0_ 24_95_50
57_32_53_80_15_ 31_32_53_134_15
28_76_ 28_111
62_39_19_40_2_ 62_39_19_40_2
26_4_59_69_44_40_17_35_ 26_4_59_73_44_40_17_35
21_17_64_30_ 47_17_64_30
71_ 75
24_80_1_ 24_134
62_ 62
32_64_44_ 58_64_44
55_72_0_ 55_76_0
14_12_71_21_ 14_12_75_21
63_25_24_31_ 63_25_50_31
7_48_64_9_80_12_17_ 7_48_33_9_134_12_17
33_73_ 33_95
42_73_ 42_95
18_ 117
59_2_48_68_8_80_ 59_2_48_73_8_21
2_69_38_ 2_73_38
9_74_77_79_17_22_ 9_38_24_118_17_22
24_78_31_55_50_ 24_117_31_55_50
63_19_64_54_3_ 70_19_33_54_3
33_28_43_ 64_28_43
55_ 76
73_ 95
24_16_50_48_62_37_2_19_ 24_16_0_48_62_37_2_19
0_73_ 0_95
17_68_ 17_105
5_67_57_ 5_107_31
4_13_79_30_20_ 4_13_118_30_20
32_75_ 32_107
32_52_73_10_ 32_52_95_10
39_1_80_1_ 39_134
1_53_65_34_55_ 1_53_65_34_55
10_73_ 10_95
74_53_25_ 105_53_25
79_ 118
53_76_ 53_111
21_39_53_77_60_18_37_ 21_107_53_0_60_18_37
72_ 76
3_73_7_14_54_ 3_95_7_14_54
9_64_44_ 9_64_44
74_ 105
4_71_ 4_75
20_39_78_26_ 20_39_117_26
23_9_78_40_15_27_ 23_9_117_40_15_27
54_33_ 54_64
4_78_12_ 4_117_12
47_80_ 47_134
76_ 111
15_78_0_ 15_117_50
12_ 70
4_71_44_ 4_75_44
51_52_22_75_14_50_41_43_31_3_ 51_52_22_107_14_50_41_43_31_3
74_18_10_30_60_36_66_48_28_ 12_40_10_30_60_36_111_48_28
73_45_9_51_14_ 95_45_26_25_14
10_32_25_64_56_ 10_32_51_64_56
43_ 43
28_69_0_ 28_73_0
71_ 75
70_3_19_30_56_59_ 74_3_19_30_56_33
12_1_0_71_6_ 12_1_50_75_6
28_ 54
75_ 107
54_43_78_37_52_4_ 54_43_117_37_52_4
47_6_79_52_25_ 47_6_118_52_25
15_45_47_80_28_22_ 15_45_47_134_28_22
26_70_33_12_39_8_ 26_74_33_12_0_8
40_71_ 40_75
52_18_63_45_ 52_18_70_45
2_69_5_64_35_79_19_13_34_40_ 61_47_5_33_35_118_19_13_34_40
18_63_3_2_ 111_3_61
22_67_28_ 23_107_28
23_55_18_69_11_41_ 23_55_18_73_11_41
20_7_25_27_53_49_25_65_40_20_ 20_7_51_27_53_49_25_65_40_46
59_28_11_47_43_ 64_28_11_47_43
25_63_ 25_70
31_1_62_37_ 31_1_62_37
32_32_ 70_58_57
46_ 46
60_26_62_30_23_ 60_26_62_30_23
21_73_ 21_95
72_33_37_ 76_59_37
56_60_57_69_50_40_ 56_60_57_73_50_40
69_4_49_37_3_36_47_ 73_4_49_37_3_36_47
38_63_ 38_63
33_69_7_ 33_73_7
14_64_58_ 14_64_58
35_72_56_58_ 35_76_56_58
76_ 111
44_7_62_27_ 44_7_62_27
39_71_53_38_60_77_ 39_75_53_38_60_0
70_20_ 74_20
1_80_1_46_ 134_46
29_74_80_13_20_10_4_59_ 29_21_134_13_46_10_4_59
18_64_43_64_10_ 18_59_43_64_10
55_ 55
22_41_40_29_54_76_44_57_74_16_ 22_41_40_29_28_111_44_57_12_16
79_ 118
53_73_27_ 53_95_27
52_61_9_41_5_66_50_42_68_19_ 52_35_26_41_5_111_50_42_47_19
19_23_14_13_69_59_ 19_23_14_13_70_59
10_62_40_ 10_62_40
72_29_50_2_48_11_12_2_ 76_29_24_2_48_11_12_61
51_31_33_62_11_ 25_31_33_62_11
56_16_31_63_55_43_ 56_16_31_63_55_43
28_ 28_70
63_15_23_57_6_ 63_15_23_57_6
 70
34_77_78_ 34_117
15_59_13_28_72_16_22_31_8_ 15_59_13_54_76_16_22_31_8
28_78_24_ 28_117_0
12_9_ 38_9
15_73_ 15_95
35_59_ 61_64
62_28_15_60_3_ 62_28_15_60_3
80_ 134
20_50_61_79_38_56_ 20_0_35_118_38_56
44_80_ 44_134
28_74_22_70_26_29_13_ 28_12_22_74_26_29_13
37_43_ 37_43
75_ 107
79_ 118
14_69_4_ 14_73_4
13_43_ 13_62
45_29_78_77_28_23_2_ 45_29_117_28_23_2
31_70_56_ 27_74_56
20_45_72_22_ 46_45_76_22
28_11_80_47_43_ 28_11_134_47_43
52_64_58_ 52_64_58
30_62_ 30_62
1_80_ 134
80_ 134
55_5_67_0_ 55_5_107_0
41_44_72_1_26_ 41_44_76_21_26
76_ 111
51_73_53_19_59_42_9_80_7_ 51_95_53_19_59_42_9_49_7
72_ 76
11_73_47_9_33_ 11_95_47_26_33
51_16_54_ 51_16_28
74_40_6_28_79_1_11_18_ 38_40_6_28_118_1_11_18
33_74_7_ 33_105_7
18_29_80_1_46_ 18_29_134_1_20
38_76_ 12_111
69_4_45_10_46_80_42_13_ 73_4_45_10_20_1_42_13
13_17_14_78_0_24_ 13_17_14_117_0_50
9_76_ 9_111
74_ 105
61_35_ 61_35
49_72_37_ 49_76_37
56_70_47_ 56_74_47
20_79_13_ 20_118_13
1_65_4_ 21_65_4
74_39_79_24_ 21_39_118_0
12_10_66_7_45_ 12_10_70_7_45
34_80_20_ 34_134_20
52_70_ 52_74
45_75_29_ 45_107_29
75_ 107
53_37_ 53_37
58_36_7_71_39_24_16_ 58_36_7_75_39_24_16
31_37_78_40_11_ 31_37_117_40_11
39_4_12_74_18_43_21_ 39_4_38_105_18_43_21
2_76_18_ 2_111_18
36_49_13_63_35_23_2_ 36_57_13_63_35_23_2
53_62_ 53_62
10_17_79_31_9_51_54_ 10_17_118_31_26_25_54
15_77_9_33_69_20_55_5_2_ 15_0_9_33_73_46_55_5_2
12_25_23_75_32_43_ 12_25_23_107_58_43
66_40_55_6_2_33_ 70_40_55_6_31_33
72_41_15_30_ 76_41_15_30
6_62_20_ 6_62_20
73_17_27_29_11_24_ 95_17_27_29_11_50
69_9_5_49_37_54_ 73_9_5_49_37_54
57_ 57
62_ 62
40_78_44_15_39_ 40_117_44_15_39
39_58_80_29_ 39_58_134_29
2_63_17_49_ 2_63_17_49
79_ 118
59_38_2_0_23_ 64_12_35_50_23
26_64_80_42_ 26_33_134_42
37_16_71_10_20_11_28_64_2_ 37_16_75_10_20_11_54_59_61
40_54_76_19_ 40_54_111_19
12_65_42_ 12_65_42
73_ 95
77_47_35_ 70_47_35
30_80_22_ 30_134_22
19_63_13_59_80_25_9_35_ 19_2_13_59_134_25_9_35
 63
20_17_72_80_80_49_55_37_27_ 20_17_76_21_1_57_55_37_27
6_69_16_ 6_73_16
13_22_41_64_18_4_5_ 13_1_22_41_64_18_4_5
35_2_63_ 61_63
47_76_ 47_117
67_58_ 107_32
74_ 105
1_38_9_ 117_38_9
1_55_41_46_21_ 107_55_41_46_21
18_72_ 18_76
49_30_80_12_ 49_30_134_38
71_ 75
33_24_63_9_ 33_24_63_9
45_43_18_56_73_28_50_53_46_ 45_43_18_56_95_5_50_53_20
55_31_80_60_ 55_31_134_60
16_62_ 16_62
2_54_72_38_ 2_54_76_38
65_ 65
6_16_76_66_10_ 6_16_111_26
1_44_69_24_19_ 1_44_73_24_19
65_24_ 65_24
27_78_36_ 27_117_36
11_44_78_3_57_ 11_44_117_3_57
22_ 22
73_15_47_46_ 95_15_47_46
73_ 95
8_5_70_25_ 8_5_74_7
2_6_64_9_38_ 35_6_64_9_38
43_34_73_4_2_ 43_34_95_4_2
1_76_ 111
33_54_ 59_54
55_78_59_ 55_117_59
60_34_70_15_29_7_5_39_ 60_34_74_15_20_7_5_39
63_58_ 63_58
28_70_ 54_74
62_10_1_77_11_51_ 62_10_1_24_11_51
28_33_18_79_20_ 28_33_18_118_46
45_5_62_59_ 45_5_62_59
41_79_33_ 41_118_59
49_ 49
71_ 75
10_72_ 10_76
32_57_62_52_0_ 32_31_62_52_24
7_66_76_3_45_8_9_ 7_111_3_19_8_9
38_ 105
69_ 73
9_53_76_30_1_19_56_ 9_53_111_30_1_19_56
50_29_52_70_16_47_ 50_29_52_74_16_47
74_65_ 12_65
29_14_ 63_14
57_63_0_ 31_63_50
73_8_ 95_8
72_ 76
63_4_ 63_4
61_70_ 61_74
12_10_7_75_45_ 12_10_7_107_45
32_7_51_66_1_9_ 32_7_51_70_1_9
74_77_2_60_58_64_55_36_ 21_0_2_60_58_64_55_36
79_ 118
13_79_29_ 13_118_29
13_59_27_65_10_12_52_ 13_33_27_65_10_12_52
37_12_ 37_105
76_ 111
62_ 62
70_ 74
27_62_34_51_25_ 27_62_34_51_25
79_35_23_53_ 118_61_23_53
18_74_32_ 18_105_32
26_63_39_ 26_63_39
72_ 76
28_1_80_ 54_134
10_68_14_35_ 10_73_14_61
79_ 118
50_52_20_27_77_11_45_18_ 50_52_20_27_70_11_45_18
60_69_ 60_73
1_ 70
1_46_ 1_73
71_26_ 75_26
80_ 134
33_74_37_ 33_105_37
 63
58_8_75_34_27_18_56_ 31_8_107_34_27_18_56
45_8_73_5_58_ 45_8_95_54_58
62_16_2_37_ 62_16_2_37
28_74_ 28_105
65_ 65
75_ 107
24_38_75_17_ 50_38_107_17
52_8_68_44_ 52_8_70_44
70_ 74
11_13_6_32_27_64_61_30_ 11_13_6_32_27_64_61_21
74_1_47_ 134_47
19_62_26_ 19_62_26
42_68_69_60_20_58_ 42_12_73_60_46_58
19_21_66_44_ 19_1_70_44
48_54_80_26_ 48_54_134_26
30_79_55_ 30_118_55
58_47_75_1_22_ 58_47_107_1_22
76_ 111
48_64_64_10_ 48_33_64_10
42_47_19_75_37_61_ 42_47_19_107_37_61
80_ 134
57_58_3_40_76_23_7_20_ 57_58_3_40_111_23_7_46
70_ 74
18_59_26_63_14_48_44_ 18_59_26_70_14_48_44
43_64_ 43_64
36_64_36_49_20_69_10_37_45_ 33_36_49_20_73_10_37_45
2_73_28_50_14_10_ 35_95_28_0_14_10
73_30_ 95_30
19_59_74_27_22_ 19_59_105_27_22
78_ 117
64_80_0_56_26_69_4_35_20_12_ 59_1_0_56_26_73_4_35_46_38
27_71_11_28_18_6_ 27_75_11_54_18_6
20_6_27_69_33_30_ 46_6_27_73_33_30
25_69_27_ 25_73_27
69_ 73
51_ 25
49_79_0_ 49_118_50
48_13_69_10_43_ 48_13_73_10_43
51_71_27_ 25_75_27
73_ 95
27_20_77_18_60_45_48_ 27_20_70_18_60_45_48
76_ 111
22_16_11_72_19_4_37_ 22_16_11_76_19_4_37
66_9_57_ 70_9_57
29_72_ 29_76
20_68_10_ 46_73_10
20_34_39_4_65_12_15_ 20_34_39_4_65_38_15
34_19_62_6_ 34_19_62_6
30_68_44_ 30_73_44
72_32_56_1_ 76_32_56_21
43_13_65_34_35_ 43_13_65_34_2
37_42_71_9_51_49_30_ 37_42_75_9_25_49_30
78_13_ 70_13
76_ 111
64_4_30_68_53_5_ 59_4_30_73_53_5
37_80_60_ 37_134_60
42_35_41_72_31_54_ 42_35_41_76_31_54
69_ 73
41_64_55_1_73_20_47_28_ 41_33_55_44_95_20_47_28
70_43_7_ 74_43_7
41_57_70_6_ 41_57_74_6
2_44_55_80_3_52_ 2_44_55_134_3_52
74_ 105
63_25_42_50_57_15_55_27_ 63_25_42_50_31_15_55_27
76_ 111
40_2_45_79_74_59_ 40_2_45_118_21_59
55_ 62
24_74_43_74_16_13_ 50_38_43_105_16_13
11_76_18_ 11_111_18
51_36_74_15_17_8_7_55_43_2_ 51_36_105_15_17_8_7_55_43_2
20_10_63_0_ 20_10_63_50
17_63_49_ 17_70_49
33_3_64_39_ 64_3_33_39
74_2_19_77_60_16_48_44_ 105_35_19_0_60_16_48_1
59_73_ 59_95
16_65_4_1_ 16_65_4_1
48_45_50_31_60_70_16_36_9_0_ 48_45_50_57_60_74_16_36_9_0
79_ 118
18_71_ 18_75
81_ 70
46_72_0_ 46_76_50
5_26_17_73_45_36_23_4_28_44_ 5_26_17_95_45_36_23_4_28_44
28_11_31_64_74_38_13_42_78_46_ 28_11_57_59_47_38_13_42_117_46
31_29_20_1_73_18_7_9_ 57_29_20_1_95_18_7_9
53_42_64_30_6_3_ 53_42_64_30_6_3
28_1_ 28_70
8_2_65_31_58_ 8_2_65_31_32
46_3_75_45_ 46_3_107_45
44_27_74_51_9_ 44_27_105_25_9
63_1_74_49_9_29_14_ 63_46_49_9_29_14
11_12_25_70_18_20_31_ 11_38_51_74_18_20_31
50_62_ 24_62
28_ 28_111
81_ 63
79_7_28_77_28_58_53_25_ 118_7_54_0_28_58_53_51
69_ 73
70_ 74
13_65_2_ 13_65_2
48_76_53_55_64_54_ 48_111_53_55_59_54
61_25_28_69_5_29_10_2_15_58_ 61_51_54_73_5_29_10_2_15_58
73_19_64_0_2_34_ 95_19_33_24_61_34
36_25_70_40_64_44_2_41_61_ 36_51_74_40_59_44_35_41_61
3_62_ 3_62
20_62_9_ 46_62_9
13_5_47_1_79_3_22_8_ 13_5_47_21_118_3_22_8
75_23_58_8_13_ 107_23_32_8_13
22_4_48_76_14_53_ 22_4_48_111_14_53
4_ 4
29_80_ 29_134
17_79_10_ 17_118_10
19_41_65_59_30_ 19_41_65_33_30
15_39_25_70_23_ 15_39_25_74_23
